,栏目,标题,作者,链接
2022-05-21,子宫肌瘤,中医药防治子宫肌瘤,叶润英,https://www.haodf.com/neirong/wenzhang/9388796073.html
2022-05-21,肝癌,钇90是什么？ 钇[90Y] 放射性微球栓塞治疗简介！,张炜浩,https://www.haodf.com/neirong/wenzhang/9388795957.html
2022-05-21,肝癌,我科率先成功开展肝脏恶性肿瘤钇[90Y]树脂微球精准治疗！！！,张炜浩,https://www.haodf.com/neirong/wenzhang/9388795955.html
2022-05-21,肺癌,首次提出“磨玻璃结节型肺癌”新定义5年，相关进展如雨后春笋,戴纪刚,https://www.haodf.com/neirong/wenzhang/9388795898.html
2022-05-20,骨折,肘关节骨折后的康复,李政,https://www.haodf.com/neirong/wenzhang/9388795476.html
2022-05-20,高血压,长期服用降压药需要注意哪几个问题？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388795469.html
2022-05-20,乳腺癌,乳腺癌患者能喝豆浆吗？哪些食物危险？,冯莉,https://www.haodf.com/neirong/wenzhang/9388795460.html
2022-05-20,脑梗塞,医患信赖和医患互助,江荣才,https://www.haodf.com/neirong/wenzhang/9388795252.html
2022-05-20,乳腺癌,乳房摸到花生粒大小的硬块，是乳腺癌吗？,赵华栋,https://www.haodf.com/neirong/wenzhang/9388795231.html
2022-05-20,肺癌,刘懿博士说肺癌（三八九五）83岁老先生第一次拍CT发现前纵隔占...,刘懿,https://www.haodf.com/neirong/wenzhang/9388795119.html
2022-05-20,肺癌,刘懿博士说肺癌（三八九四）咳嗽低烧怀疑为肺癌，会是误诊么？...,刘懿,https://www.haodf.com/neirong/wenzhang/9388795076.html
2022-05-20,肺癌,脸上长了颗“痘痘”，竟是肺癌转移,孙君重,https://www.haodf.com/neirong/wenzhang/9388795048.html
2022-05-20,乳腺癌,文胸穿久会得癌vs不穿胸部就下垂，到底穿不穿？（上）,许扬滨,https://www.haodf.com/neirong/wenzhang/9388795030.html
2022-05-19,肺癌,能治21种癌症的靶向药国内获批上市，有些肿瘤客观缓解率达100%...,胡洋,https://www.haodf.com/neirong/wenzhang/9388793891.html
2022-05-19,肺癌,PET-CT是否就能诊断肺癌? 怎么才能早期诊断? 什么是早期肺癌?,王晟广,https://www.haodf.com/neirong/wenzhang/9388793139.html
2022-05-19,肺癌,刘懿博士说肺癌（三八八九）胸片体检出肺结节，听说我们医院可...,刘懿,https://www.haodf.com/neirong/wenzhang/9388793092.html
2022-05-19,肺癌,刘懿博士说肺癌（三八八七）早期肺癌术后神经烯醇化酶轻度升高...,刘懿,https://www.haodf.com/neirong/wenzhang/9388793066.html
2022-05-19,肺癌,刘懿博士说肺癌（三八八六）肺癌吃着靶向药肿瘤标志物升高怎么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388793050.html
2022-05-19,肺癌,刘懿博士说肺癌（三八八四）胸闷两个月加重来医院，诊断晚期肺...,刘懿,https://www.haodf.com/neirong/wenzhang/9388792956.html
2022-05-19,肺癌,刘懿博士说肺癌（三八八一）肺癌术后一年半腰腿疼，是转移了么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388792024.html
2022-05-19,肺癌,在中国，一次性低剂量螺旋CT对筛查肺癌具有重要作用！,张临友,https://www.haodf.com/neirong/wenzhang/9388791978.html
2022-05-18,肺癌,刘懿博士说肺癌（三八八〇）近半年后背疼，发现7mm肺磨玻璃结节...,刘懿,https://www.haodf.com/neirong/wenzhang/9388790830.html
2022-05-18,乳腺癌,乳腺癌患者延长寿命，应做到这五点是前提,赵华栋,https://www.haodf.com/neirong/wenzhang/9388790822.html
2022-05-18,腰椎间盘突出,我为什么会腰椎间盘突出？,刘涛,https://www.haodf.com/neirong/wenzhang/9388790657.html
2022-05-18,乳腺癌,CDK4/6抑制剂小知识,金亮,https://www.haodf.com/neirong/wenzhang/9388790429.html
2022-05-18,肺癌,刘懿博士说肺癌（三八七七）体检胸片显示肺部结节，应该做什么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388790428.html
2022-05-18,腰椎间盘突出,怎么远离腰突，骨科医生建议你这样做！,周孜辉,https://www.haodf.com/neirong/wenzhang/9388790408.html
2022-05-18,乳腺癌,乳腺癌常见化疗不良反应的处理,藕宝池,https://www.haodf.com/neirong/wenzhang/9388790352.html
2022-05-18,腰椎间盘突出,腰椎间盘突出 下肢疼痛 小小射频针 立竿见影,王伟,https://m.haodf.com/neirong/shipin/9388790273.html
2022-05-18,冠心病,耳朵有折痕，是冠心病的征兆吗？,赵舟,https://www.haodf.com/neirong/wenzhang/9388790211.html
2022-05-18,肺癌,术前肺康复训练对肺癌合并COPD的患者围术期影响,张临友,https://www.haodf.com/neirong/wenzhang/9388789952.html
2022-05-18,肺癌,什么是五年生存率？如果提高患者五年生存率,张临友,https://www.haodf.com/neirong/wenzhang/9388789949.html
2022-05-17,乳腺癌,早期三阴乳腺癌强化治疗的新策略,李晓平,https://www.haodf.com/neirong/wenzhang/9388789803.html
2022-05-17,肺癌,肺癌治疗少走弯路的几个关键点（东哥总结的肺癌看病攻略）,胡旭东,https://www.haodf.com/neirong/wenzhang/9388789688.html
2022-05-17,冠心病,为什么血脂正常的冠心病患者也要服用他汀类药物？,沈迎,https://www.haodf.com/neirong/wenzhang/9388789455.html
2022-05-17,肺癌,问：肺癌术后口服奥希替尼加上4个周期的化疗是否更好？,王昆,https://www.haodf.com/neirong/wenzhang/9388789359.html
2022-05-17,骨折,术后补营养这道题，选喝汤是正确答案吗？,刘欣伟,https://www.haodf.com/neirong/wenzhang/9388788858.html
2022-05-17,肺癌,刘懿博士说肺癌（三八七一）晚期肺癌EGFR突变，可以吃第几代药...,刘懿,https://www.haodf.com/neirong/wenzhang/9388788594.html
2022-05-16,高血压,血压超过多少就算高血压？高血压都需要吃药吗？,任卫东,https://www.haodf.com/neirong/wenzhang/9388788461.html
2022-05-16,心绞痛,服用倍他乐克需要注意哪三个问题？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388788428.html
2022-05-16,乳腺癌,乳腺癌患者是否可以接种新冠疫苗？,孙晓寅,https://www.haodf.com/neirong/wenzhang/9388788373.html
2022-05-16,肺癌,刘懿博士说肺癌（三八七〇）肺磨玻璃结节术后能活到长命百岁么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388788298.html
2022-05-16,冠心病,冠心病人能泡脚吗？,赵舟,https://www.haodf.com/neirong/wenzhang/9388788275.html
2022-05-16,肺癌,刘懿博士说肺癌（三八六九）41岁磨玻璃结节肺癌术后，工作有变...,刘懿,https://www.haodf.com/neirong/wenzhang/9388788123.html
2022-05-16,肺癌,刘懿博士说肺癌（三八六七）肺癌大姐问，术后可以纹眉和纹嘴唇...,刘懿,https://www.haodf.com/neirong/wenzhang/9388787726.html
2022-05-16,肺癌,专家带您了解抗癌神药----拉罗替尼（Larotrectinib）,鲍慧铮,https://www.haodf.com/neirong/wenzhang/9388787535.html
2022-05-16,颈椎病,健康的脊柱是如何被“耗尽”的,张正平,https://www.haodf.com/neirong/wenzhang/9388787488.html
2022-05-16,肺癌,营养支持在进展期癌症患者中很重要,张临友,https://www.haodf.com/neirong/wenzhang/9388787254.html
2022-05-15,肺癌,肺癌免疫治疗系列（3）：晚期肺癌领域最热的免疫治疗是什么？,鲁蒙,https://www.haodf.com/neirong/wenzhang/9388787208.html
2022-05-15,胃癌,一例行胃癌根治术患者的案例分享,刘茂兴,https://www.haodf.com/neirong/wenzhang/9388786657.html
2022-05-15,胃癌,一例晚期胃癌患者的救治分享,刘茂兴,https://www.haodf.com/neirong/wenzhang/9388786639.html
2022-05-15,高血压,太阳穴出现青筋要注意什么病？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388786574.html
2022-05-15,肺癌,发生过免疫性肺炎的肺癌患者恢复后还能再用免疫药吗？要慎重,胡洋,https://www.haodf.com/neirong/wenzhang/9388786422.html
2022-05-15,肺癌,磨玻璃样病变是什么？肺癌的影像学检查方法又有哪些？胸片和CT...,王晟广,https://www.haodf.com/neirong/wenzhang/9388786252.html
2022-05-15,脑梗塞,心源性卒中治疗中国专家共识（2022）,张毅,https://www.haodf.com/neirong/wenzhang/9388785986.html
2022-05-15,肺癌,带你了解肺癌的免疫治疗,楚瑞阁,https://www.haodf.com/neirong/wenzhang/9388785758.html
2022-05-14,肺癌,肺癌患者为什么要做基因检测？这篇文章告诉你答案！,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388785148.html
2022-05-14,肺癌,CT发现这样的肺炎请小心，它可能是肺癌，而且恶性度很高（转自...,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388785143.html
2022-05-14,乳腺癌,你知道肿瘤的三级预防吗，如何做好三级预防？,王子良,https://www.haodf.com/neirong/wenzhang/9388784566.html
2022-05-14,乳腺癌,父母不幸罹患癌症，子女是否需要做遗传基因检测呢？,何义富,https://www.haodf.com/neirong/wenzhang/9388784472.html
2022-05-14,肺癌,什么是肺癌的免疫治疗？,张临友,https://www.haodf.com/neirong/wenzhang/9388784435.html
2022-05-13,肝硬化,七种常见的癌前病变，你知道多少？,车旭,https://www.haodf.com/neirong/wenzhang/9388783865.html
2022-05-13,乳腺癌,乳腺癌患者如何正确选择就诊科室？,赵华栋,https://www.haodf.com/neirong/wenzhang/9388783862.html
2022-05-13,乳腺癌,女性在自我检查乳房时，发现这些症状时应及时就医,赵华栋,https://www.haodf.com/neirong/wenzhang/9388783858.html
2022-05-13,腰椎间盘突出,平板支撑or腰椎粉碎机？你真的会做平板支撑吗？,廖博,https://www.haodf.com/neirong/wenzhang/9388783775.html
2022-05-13,腰椎间盘突出,得了椎间盘突出症后，比治疗更重要的是这件事！,李维新,https://www.haodf.com/neirong/wenzhang/9388783711.html
2022-05-13,肺癌,肺癌的生长速度究竟有多快？,王永忠,https://www.haodf.com/neirong/wenzhang/9388783508.html
2022-05-13,医疗健康,微浸润癌手术简单，术后能根治,吴亮,https://m.haodf.com/neirong/shipin/9388783295.html
2022-05-12,肝癌,抗癌故事 —— 严重肝硬化伴肝癌，艰难决择挽救生命,黄兆明,https://www.haodf.com/neirong/wenzhang/9388782931.html
2022-05-12,骨折,骨折之后吃什么能更好的促进愈合？——刘宁医生,刘宁,https://www.haodf.com/neirong/wenzhang/9388782810.html
2022-05-12,肺癌,刘懿博士说肺癌（三八四九）肺结节患者问我，是不是刘主任本人...,刘懿,https://www.haodf.com/neirong/wenzhang/9388782514.html
2022-05-12,肺癌,刘懿博士说肺癌（三八四八）肺结节和肺癌治疗，医患之间是有缘...,刘懿,https://www.haodf.com/neirong/wenzhang/9388782498.html
2022-05-12,肺癌,刘懿博士说肺癌（三八四七）肺结节患者问，胸膜粘连对生活影响...,刘懿,https://www.haodf.com/neirong/wenzhang/9388782475.html
2022-05-12,肺癌,刘懿博士说肺癌（三八四六）胸部外伤拍了CT，顺道看看有没有肺...,刘懿,https://www.haodf.com/neirong/wenzhang/9388782460.html
2022-05-12,肺癌,刘懿博士说肺癌（三八四二）原发性肺癌还是子宫内膜癌？病理最...,刘懿,https://www.haodf.com/neirong/wenzhang/9388782237.html
2022-05-12,肺癌,非小细胞肺癌中罕见驱动基因突变和年龄有怎样的关系,张临友,https://www.haodf.com/neirong/wenzhang/9388781658.html
2022-05-11,肺癌,肺纤维化合并肺癌，手术会加重纤维化短期内要命，如何非手术治...,胡洋,https://www.haodf.com/neirong/wenzhang/9388781374.html
2022-05-11,耳聋,不要低估了化疗药顺铂的耳毒性，我的一个朋友因为这个被投诉了...,胡洋,https://www.haodf.com/neirong/wenzhang/9388781185.html
2022-05-11,胰腺癌,柳叶刀最新发布：中国最常见的23个致癌因素！,张洁霞,https://www.haodf.com/neirong/wenzhang/9388781151.html
2022-05-11,肺癌,验血是否就能诊断肺癌？体检血清标志物高是否就是肺癌？肺癌常...,王晟广,https://www.haodf.com/neirong/wenzhang/9388781139.html
2022-05-11,肺癌,刘懿博士说肺癌（三八四〇）找我检查肺结节，讲清楚后再开检查...,刘懿,https://www.haodf.com/neirong/wenzhang/9388781128.html
2022-05-11,肺癌,肺癌发现就晚期了，还有必要治疗吗？,吴亮,https://m.haodf.com/neirong/shipin/9388781086.html
2022-05-11,肺癌,刘懿博士说肺癌（三八三九）肺癌是每次化疗前都复查一次片子吗...,刘懿,https://www.haodf.com/neirong/wenzhang/9388781079.html
2022-05-11,肺癌,刘懿博士说肺癌（三八三八）半年前就让切，三个肺磨玻璃结节都...,刘懿,https://www.haodf.com/neirong/wenzhang/9388781044.html
2022-05-11,肺癌,刘懿博士说肺癌（三八三七）IA2期肺癌手术后，需要吃靶向药么？...,刘懿,https://www.haodf.com/neirong/wenzhang/9388780911.html
2022-05-11,乳腺癌,乳腺癌辅助放疗是怎么回事？,赵艳霞,https://www.haodf.com/neirong/wenzhang/9388780656.html
2022-05-11,脑梗塞,片子报告“腔梗”了，就是脑梗吗？（转）（节选）,赵倩华,https://www.haodf.com/neirong/wenzhang/9388780365.html
2022-05-11,肺癌,肺癌骨治疗有哪些治疗方法？,徐清华,https://www.haodf.com/neirong/wenzhang/9388780245.html
2022-05-11,肺癌,有哪些人是肺癌和食管癌的高危人群,张临友,https://www.haodf.com/neirong/wenzhang/9388780094.html
2022-05-10,肺癌,刘懿博士说肺癌（三八三五）肺癌肿瘤标志物升高可以吃靶向药么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388779900.html
2022-05-10,肺癌,刘懿博士说肺癌（三八三四）去年经历重症肝炎，今年诊断肺癌脑...,刘懿,https://www.haodf.com/neirong/wenzhang/9388779710.html
2022-05-10,乳腺癌,乳腺癌保乳术治疗效果好吗,赵华栋,https://www.haodf.com/neirong/wenzhang/9388779360.html
2022-05-10,乳腺癌,哪些乳腺癌患者可实现“既保乳又保命”,赵华栋,https://www.haodf.com/neirong/wenzhang/9388779358.html
2022-05-10,腰椎间盘突出,腰椎间盘突出是不是发生了就会恶化的很快呢？,余将明,https://www.haodf.com/neirong/wenzhang/9388779104.html
2022-05-10,高血压,在家测血压为何测不准？要注意哪些问题？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388778963.html
2022-05-10,乳腺癌,北肿欧阳涛：乳腺癌无法早预防，只能早发现！生活中留意3种症状...,吴高松,https://www.haodf.com/neirong/wenzhang/9388778912.html
2022-05-10,肺癌,刘懿博士说肺癌（三八三三）胸闷发现肺磨玻璃结节，切下来是肺...,刘懿,https://www.haodf.com/neirong/wenzhang/9388778821.html
2022-05-10,甲亢,除了帕金森，手抖还可能是哪些病？,孟凡刚,https://www.haodf.com/neirong/wenzhang/9388778759.html
2022-05-10,肺癌,刘懿博士说肺癌（三八三二）6mm肺磨玻璃结节有生育要求怎么办？...,刘懿,https://www.haodf.com/neirong/wenzhang/9388778757.html
2022-05-10,乳腺癌,乳腺癌患者术后应注意哪些事项？,耿凤勇,https://www.haodf.com/neirong/wenzhang/9388778696.html
2022-05-10,肺癌,肺癌，靶向及免疫治疗药物汇总表(2022年1月),张建斌,https://www.haodf.com/neirong/wenzhang/9388778667.html
2022-05-10,肺癌,刘懿博士说肺癌（三八三一）肺癌病理报告为什么没有写高中低分...,刘懿,https://www.haodf.com/neirong/wenzhang/9388778393.html
2022-05-09,子宫肌瘤,一例巨大宫颈肌瘤的诊治体会 ——定期体检，早诊早知是正道...,王淑芬,https://www.haodf.com/neirong/wenzhang/9388778299.html
2022-05-09,脑梗塞,如何通过生活调养预防脑梗塞？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388778114.html
2022-05-09,脑梗塞,预防脑梗塞在饮食上要注意什么？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388778096.html
2022-05-09,脑梗塞,对脑梗塞有哪几个常见错误认识？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388778087.html
2022-05-09,肺癌,刘懿博士说肺癌（三八三〇）快看！中药调理三个月，9cm肺癌减小...,刘懿,https://www.haodf.com/neirong/wenzhang/9388778080.html
2022-05-09,脑梗塞,哪些因素会引起脑梗死复发？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388778079.html
2022-05-09,肺癌,刘懿博士说肺癌（三八二九）直接就可以治疗的肺癌非来天津是这...,刘懿,https://www.haodf.com/neirong/wenzhang/9388777914.html
2022-05-09,肺癌,肺癌术后病理报告你真的看懂了？,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388777779.html
2022-05-09,肺癌,刘懿博士说肺癌（三八二八）为何肺结节在我院拍片子找我看让挂...,刘懿,https://www.haodf.com/neirong/wenzhang/9388777195.html
2022-05-09,肺癌,刘懿博士说肺癌（三八二七）肺癌患者能不能打疫苗，谁说了算？...,刘懿,https://www.haodf.com/neirong/wenzhang/9388777183.html
2022-05-09,肺癌,刘懿博士说肺癌（三八二六）去年片子上有肺磨玻璃结节，报告没...,刘懿,https://www.haodf.com/neirong/wenzhang/9388777123.html
