人物,出现次数
基因突变,1775
肺叶,1773
饮食,1772
长期,1766
过程,1743
严重,1738
浸润,1738
技术,1737
升高,1731
体检,1709
用于,1694
有些,1692
穿刺,1686
一次,1685
营养,1681
中国,1678
鳞癌,1676
完全,1673
针对,1666
手段,1638
时候,1630
开始,1628
观察,1622
明确,1616
减少,1611
还有,1607
超过,1604
不会,1588
产生,1584
之后,1574
之前,1565
报告,1563
纵隔,1557
全身,1552
延长,1547
所有,1540
无法,1536
控制,1532
特别,1524
反应,1516
总医院,1508
天津医科大学,1498
状态,1496
容易,1492
质量,1491
尤其,1488
注意,1478
虽然,1468
剂量,1466
标准,1463
表达,1445
避免,1435
来说,1434
指南,1429
缓解,1397
随着,1396
附属,1394
肿瘤外科,1387
判断,1381
发病率,1381
不要,1378
治愈,1375
如何,1375
胸腔,1372
采用,1366
一样,1364
周围,1359
常规,1353
数据,1339
分析,1337
高危,1337
不良反应,1330
而且,1329
进一步,1324
确诊,1321
直接,1318
经过,1317
觉得,1316
恢复,1312
通常,1305
预防,1298
方面,1296
知道,1293
处理,1282
侵犯,1277
病例,1276
女性,1275
第一,1274
消融,1274
最大,1261
综合,1253
属于,1252
中位,1251
显著,1247
获益,1237
以下,1237
任何,1235
骨转移,1235
看到,1234
胡洋,1232
一下,1229
文章,1225
PET,1225
获得,1223
胸腔镜,1220
死亡,1219
只有,1217
范围,1208
实性,1207
提示,1205
造成,1205
其实,1203
联系,1194
放化疗,1193
感染,1189
人体,1184
大小,1174
分子,1165
改善,1162
肺炎,1154
定期,1146
副作用,1146
左右,1144
成分,1143
微创,1136
及时,1136
酪氨酸激酶抑制剂,1135
下降,1135
切除术,1133
了解,1127
朋友,1126
并且,1123
呼吸,1123
证据,1122
往往,1121
用药,1118
分别,1117
标本,1100
首先,1099
中心,1096
我国,1089
年龄,1086
咨询,1083
改变,1081
气管,1081
变化,1076
期间,1074
美国,1073
神经,1068
结合,1067
带来,1065
分为,1055
抑制,1053
从而,1046
为主,1046
两个,1046
相对,1046
工作,1044
成为,1039
影像学,1038
死亡率,1037
增强,1033
持续,1028
异常,1020
直径,1019
最好,1017
发生率,1015
良性,1015
敏感,1008
一项,1006
每年,1006
损伤,1005
无进展生存时间,1002
各种,998
扫描,995
这是,993
临床试验,991
原发,990
提供,989
积极,988
帮助,988
每天,987
另外,986
即使,982
口服,979
有关,975
服用,975
继续,974
血液,969
越来越,966
维持,965
之一,964
体内,964
得到,961
门诊,960
具体,958
大量,957
相比,956
出来,955
今天,955
指标,953
总生存期,952
一位,952
系统,938
水平,935
机会,934
适合,934
支气管镜,931
运动,930
除了,928
远处,924
原位癌,924
形成,922
进入,921
积液,910
当然,909
特异性,909
目的,904
阴性,902
低剂量,901
靶点,900
09,898
以后,891
可能性,888
周期,886
活动,885
关系,883
必要,883
并发症,883
他们,877
耐受,874
这里,871
表明,855
确定,852
必须,852
05,851
浸润性,851
作者,849
决定,848
大夫,848
是不是,844
哪些,843
希望,840
更好,837
医学,837
大部分,835
证实,831
意义,829
增大,827
上海市,824
住院,821
的话,819
生命,817
传统,816
发病,816
基础,815
专家,813
戒烟,810
器官,808
III,806
只是,806
基本,803
逐渐,802
出血,802
同样,801
50%,800
男性,799
概率,797
08,797
最近,796
经验,796
很大,791
静脉,791
奥希替,791
第二,790
胸片,789
阶段,788
皮肤,786
机体,784
分化,783
疗法,781
肯定,780
生成,779
07,777
为什么,774
慢性,773
03,773
良好,770
条件,770
关于,769
自身,766
国内,764
毒性,763
指导,761
炎症,759
报道,758
就诊,758
片子,752
此外,750
根治,744
才能,744
至少,743
04,742
首选,741
01,740
肺段,738
多种,737
这位,737
试验,736
最终,735
环境,735
康复,735
驱动,734
广泛,734
经常,732
一旦,731
乳腺癌,725
支持,724
监测,724
简单,722
几个,721
13,720
在线,718
大多数,718
22,716
抗癌,716
差异,716
主任,715
最后,714
内科,712
危险,711
只要,709
上市,709
II,706
精准,705
等等,705
肺门,701
融合,701
感觉,700
外科,699
怎么,699
为了,698
评价,698
17,697
多发,694
肿瘤医院,693
放射治疗,692
既往,691
删除,690
之间,690
不可,688
增生,688
ORR,684
侵权,684
位置,684
摄入,684
告诉,683
典型,682
一部分,682
稳定,680
原则,680
缩小,680
02,679
仍然,678
保持,676
原位,676
本身,675
能力,673
单药,672
抗体,671
接触,669
取得,667
二线,666
安全性,664
要求,662
许多,662
维生素,662
不好,661
免疫力,661
50,657
相应,657
心理,653
有没有,652
最佳,651
每个,651
给予,651
称为,651
蛋白质,650
2018,648
担心,647
应当,646
国家,645
抗肿瘤,645
肺泡,645
蛋白,644
06,643
小时,642
特点,641
胸痛,641
减轻,641
一直,640
影像,636
腹泻,634
某些,630
伴有,629
资料,628
机制,628
再次,628
23,626
肺科,625
两种,625
代谢,625
较大,624
心脏,623
批准,622
补充,621
结果显示,618
里面,616
切口,615
转移性,614
肿块,612
呼吸科,611
加重,611
吸烟者,609
说明,608
根治性,607
刺激,607
常用,607
确实,606
发热,606
含有,605
扩散,603
按照,602
外显子,602
后续,602
只能,600
发布,600
不仅,599
来看,597
of,597
呕吐,596
一点,595
完成,594
ROS1,594
不断,593
几乎,590
安全,589
处于,587
MET,583
鉴别,583
教授,582
诊疗,582
然后,582
老年,581
蔬菜,581
优势,580
起来,580
咯血,579
右肺,579
克唑,579
保证,577
比例,575
来自,573
吉非,570
颅内,570
锻炼,570
CEA,566
纤维,565
出院,565
三个,564
排除,564
肿瘤科,561
适当,561
五年,560
进食,560
压迫,559
中晚期,558
例如,555
特征,555
关注,555
当地,554
24,554
近年来,550
状况,549
25,547
不良,547
2022,546
准确,545
促进,543
采取,540
合并,540
密度,539
信息,539
紫杉醇,538
胃癌,536
国际,535
结构,535
小于,534
特殊,531
水果,531
策略,530
肝癌,527
专业,527
致癌,525
更加,525
多数,524
皮疹,523
肝脏,522
即可,522
开展,521
项目,521
有效率,520
做手术,519
全球,518
体重,517
下面,515
医师,515
合理,515
细胞学,515
基于,514
调整,514
代表,513
不到,512
理解,512
医保,511
模式,509
螺旋,509
20%,509
医疗,509
生物,508
一年,507
到底,506
胸壁,506
然而,503
反复,503
肾上腺,502
这么,502
外科手术,497
SCLC,495
以前,494
配合,493
免疫系统,493
肺磨,492
com,492
活性,489
纳入,488
占位,488
平均,488
恶心,488
物质,488
人们,486
高于,485
射频,485
腹部,485
GGO,484
介绍,483
www,483
所谓,482
30%,482
抽烟,482
适应症,481
有助于,480
脏器,480
停药,480
正在,479
受体,478
预测,477
大于,477
每日,477
规范,475
照射,475
几率,475
内分泌,475
抗原,474
血小板,474
快速,473
原发性,473
上述,473
KRAS,472
中药,471
病史,470
开胸,470
是因为,469
厘米,468
食用,468
同步,467
不少,466
充分,465
消失,465
单纯,464
区域,464
90%,464
过度,464
医科大学,463
10%,463
制定,462
100%,462
综合征,462
过来,461
操作,461
放射性,461
食品,460
多个,459
高度,459
当时,459
厄洛替,459
haodf,459
价值,458
有时,458
最新,457
参考,457
清扫,455
还要,455
关键,454
检查点,453
暴露,453
MRI,453
安排,452
也就是说,452
丰富,452
不足,452
优于,451
对比,451
遗传,450
不用,450
血清,450
最高,449
体质,448
病理学,448
肿大,448
切缘,448
如下,448
获批,447
80%,447
TNM,446
难以,446
总体,445
组织学,444
尽量,443
经济,442
中期,441
淋巴,441
其它,441
怀疑,440
IB,440
今年,438
vs,438
类似,438
培美曲,438
副反应,438
普通,437
cm,437
中医,436
标记,435
增高,435
2017,434
重视,434
实际上,433
坏死,432
适应,430
增殖,430
网上,430
微小,430
白细胞,429
95%,428
创伤,427
亚型,426
科学,426
敏感性,426
呼吸困难,426
IV,425
措施,425
找到,424
引流,424
受到,424
看看,422
评分,421
楔形,421
防止,421
60,420
期非,420
不适,419
食管,418
位于,418
适用,417
一代,417
胸水,417
意味着,417
真的,416
三代,414
毫米,413
那些,413
姑息,413
清楚,411
性质,411
大约,410
个人,410
速度,410
28,408
膳食,408
26,406
信号,406
结束,405
Cancer,405
及其,405
客观,404
痛苦,404
激酶,402
上皮,402
中央,402
DNA,401
一起,401
累及,401
一段时间,399
事件,398
分类,398
家族史,398
食欲,397
二代,396
有无,396
领域,394
而是,393
休息,393
每次,393
而言,393
70,392
清除,391
引导,391
MIA,391
常常,390
NCCN,389
气道,389
治愈率,389
相信,389
不过,388
提出,388
安罗替,388
合适,386
解决,386
尽可能,386
学科,386
2011,386
二手烟,385
做到,384
破坏,383
吸收,383
绝大多数,382
缓慢,382
2016,382
27,381
实现,381
超声,381
BRAF,380
家族,380
IIIA,379
心态,379
刺激性,378
全面,377
介入,376
证明,376
N2,375
尽管,375
世界,375
呼吸道,375
实体,374
激素,374
沟通,373
人民,373
其次,373
肺内,372
胸闷,372
很少,371
鳞状,370
东西,369
张临友,368
表面,368
定义,367
100,367
固定,367
IA,367
CI,366
正确,366
局限,365
贝伐珠,365
甲状腺,364
罕见,363
2015,363
利用,362
麻醉,362
迅速,362
怎么办,362
TMB,362
几天,361
因子,360
这部分,360
上升,360
平时,360
定位,360
不管,359
T790M,359
保护,359
现象,358
直肠癌,357
1%,357
随机,356
可见,355
办法,355
et,355
总结,354
PD1,353
乳头,352
特定,352
al,352
缺乏,351
费用,351
整体,351
多少,351
足够,350
40%,350
表示,350
AIS,350
较差,349
准备,349
病毒,349
70%,348
有人,348
胃肠道,348
NSE,348
心包,347
内容,347
mg,347
FDA,346
顺铂,346
困难,345
营养不良,345
29,344
声音,344
未来,343
女士,343
服药,343
无效,342
糖尿病,341
失去,340
形态,340
浓度,340
无论,339
意见,339
接近,339
肋骨,339
体积,338
回答,338
立体,338
阻塞性,338
起到,338
80,338
HER2,338
肺不张,337
过去,336
增多,336
紧张,336
释放,336
两年,336
含量,336
遇到,335
纯磨,335
这一,333
职业,333
食管癌,332
理论,331
肌肉,331
情绪,331
趋势,330
石棉,330
3cm,328
在于,328
疫苗,328
警惕,328
激活,327
首次,327
术前,327
干预,327
5%,327
即便,327
睡眠,327
能否,326
目标,326
水肿,326
少量,326
共识,326
数量,323
高血压,323
限制,323
提到,322
彻底,322
认识,321
所致,321
通路,320
复杂,320
成功,320
液体,320
类药物,320
诊治,319
它们,318
符合,318
乏力,318
焦虑,318
描述,317
定向,317
一般来说,317
杀伤,317
阿法,317
cancer,316
全部,316
骨髓,316
有限,315
一步,315
强调,315
防治,315
易瑞沙,315
轻度,314
in,314
相当,313
真正,313
分钟,313
完整,312
人类,311
中有,310
保留,310
免疫组化,310
重新,310
伤口,310
锁骨,309
价格,309
分泌,309
博利,309
颈部,309
侵袭,308
计划,308
损害,308
辐射,308
相同,307
扩增,306
胸科,306
阳性率,306
尽早,306
就要,306
家庭,305
多西,305
生长因子,304
巨大,304
进步,304
误区,303
还会,303
新药,302
区别,302
发挥,301
做好,301
一个月,300
使得,300
面对,300
于是,300
管理,299
一致,299
低于,299
杀灭,299
年轻,298
此时,298
地方,297
个体化,297
正规,297
60%,296
识别,296
同侧,296
能量,296
腺瘤,295
携带,295
and,295
家人,295
不错,294
淋巴瘤,293
孤立,293
几年,293
血常规,293
每周,293
病因,292
抗生素,292
角度,291
第三代,291
戴纪刚,291
TKIs,290
高达,290
不再,290
PDL1,290
整个,288
头痛,288
之外,288
较为,287
获取,287
lung,286
嘶哑,286
45,286
规律,285
全肺,285
放射,284
毕竟,283
2cm,283
动脉,283
密切,283
回家,283
肝肾,283
脑部,282
团队,281
间质性,281
GGN,281
变异,280
消化道,280
严格,280
解剖,280
心肺,280
父亲,279
突然,279
失败,279
体力,278
概念,278
共同,278
mm,278
公布,277
已有,277
ctDNA,277
室内,277
致癌物,277
安慰剂,276
大概,275
参加,274
提前,274
停止,274
详细,274
阿来,274
潜在,273
无论是,273
RET,273
半年,272
国产,272
确认,272
吸入,272
吉西,272
PS,271
尚未,271
单独,271
相关性,271
分型,271
少见,271
坚持,271
经历,271
大多,270
习惯,270
前列腺癌,270
前提,270
探索,269
变成,269
负荷,269
第一次,269
病友,269
少数,268
怎么样,268
表皮,267
HR,266
相似,265
肺结核,265
周晓,265
一天,265
急性,264
肉瘤,264
不明,264
患有,264
危害,264
加强,264
精神,263
阻断,263
新鲜,263
时代,262
无需,262
污染,262
更新,262
患癌,262
选用,262
剧烈,261
高龄,261
口腔,261
依然,260
样本,260
实际,260
并非,259
科室,259
酪氨酸,258
来源,258
咳痰,258
研发,258
31,258
唯一,257
提醒,257
引发,257
统计,257
转化,256
距离,256
观点,256
国外,256
图像,255
途径,255
地区,255
突破,255
2012,255
看病,254
杀死,254
感冒,254
间隔,253
平衡,253
他赛,253
下叶,252
家里,252
有利于,252
可用,252
学会,252
忌口,252
尝试,251
第三,250
解释,250
留言,250
原发灶,250
当中,250
耐受性,249
吸烟史,249
阻塞,249
人数,249
关心,249
颅脑,249
发物,249
一类,248
结论,248
基本上,248
预约,248
指出,248
诊室,248
干咳,248
结核,248
重点,247
精确,247
00,247
胰腺癌,246
对症,246
鼓励,246
可行,246
血栓,246
乳腺,245
全国,245
很小,244
增长,244
允许,244
脂肪,244
单位,243
残留,243
5mm,243
临床表现,243
此类,242
下午,242
阴影,242
调节,242
疗程,242
空气,242
身体状况,241
年内,241
复旦大学,241
WHO,241
癌变,241
B超,241
骨骼,241
更高,240
近期,240
更为,240
纵膈,240
这时,239
日本,239
存活,239
寿命,239
油烟,239
反而,239
加上,239
化学,239
边缘,238
连续,237
如此,237
镜检查,237
国内外,237
空气污染,237
烟草,237
理想,236
心情,236
什么样,236
诱发,236
话题,236
毒副,236
杂志,235
淋巴细胞,235
这时候,235
贴壁,235
生活习惯,235
重度,235
M0,235
护理,235
入组,234
将来,234
自然,234
对侧,234
两组,233
会诊,233
肝功能,233
干净,233
右侧,232
癌前,232
多次,232
倾向,231
讨论,231
最为,231
原来,231
提升,230
注射,229
越高,229
播散,228
或是,228
压力,228
曾经,228
肠道,228
控制率,227
肺上,227
学者,227
不了,227
几种,227
网络,227
医学院,227
有所,226
答案,226
左肺,226
轻微,226
做出,225
特罗,225
绝对,224
初步,224
局限性,224
薄层,224
具体情况,223
那个,223
事情,223
立新,223
区分,222
两次,222
多年,222
逐步,222
35,221
单发,221
很难,221
Lung,220
伴随,220
气体,220
平台,219
长时间,219
针对性,219
检出率,219
也许,219
方便,219
日常,219
十分,218
骨折,218
这项,218
三种,218
知识,218
正常人,217
告知,217
负担,217
终点,216
一篇,216
血压,216
很快,216
接种,216
磁共振,215
协会,215
母亲,214
测序,214
实质,214
黏液,214
放弃,214
左侧,213
征象,213
值得,213
社会,213
辛辣,213
人员,213
参与,212
生物学,212
普及,212
贫血,212
替代,212
实施,211
内部,211
动态,211
混合,211
相当于,211
可怕,211
位点,210
看起来,210
多为,210
仅仅,210
就医,210
既然,210
这次,210
LDCT,210
疲劳,210
药品,210
上面,210
一系列,209
不必,209
完全缓解,209
外周,209
伤害,209
消灭,209
可疑,209
循环,209
成熟,208
文献,208
2013,208
估计,208
毒副作用,208
患教,208
包含,207
打开,207
老年人,207
恐惧,207
亚组,207
障碍,206
时机,206
咳血,206
细菌,206
靠近,206
北京,206
粒细胞,206
有着,205
探讨,205
主管,204
仔细,204
15%,204
诱导,204
动物,204
疲乏,204
三线,204
冷冻,204
恶化,203
体征,203
强度,203
N1,203
被动,203
肉类,203
进而,202
外科医生,202
消瘦,202
设计,202
特性,202
消化,202
上腔,202
65,201
总之,201
现有,201
1cm,201
软组织,201
400,201
第一代,201
癌胚抗原,201
事实上,200
下来,200
1.5,200
加速,200
DCR,199
尽快,199
身上,199
抗炎,198
可切除,198
顺利,198
止痛,198
脱落,198
黏膜,198
是非,198
无症状,198
本人,198
免疫性,198
一侧,198
满足,198
气短,197
55,197
黑色素瘤,197
两者,196
倍增,196
癌症病人,196
更是,196
白蛋白,196
平扫,196
以外,196
扩张,196
短文,196
核磁,195
加入,195
不得不,195
愈合,195
方向,194
差别,194
气胸,194
奥西,194
复发率,193
附近,193
正式,193
上皮细胞,192
重排,192
效应,192
争议,192
验证,192
设备,192
类癌,192
ASCO,191
癌肿,191
反映,191
预期,191
空洞,191
the,191
cell,191
行为,190
意识,190
指数,190
适量,190
实验,190
禁忌,190
低下,190
个体,189
富含,189
第一个,189
单孔,189
记录,188
去年,188
卵巢癌,188
48,188
乐观,187
有点,187
90,187
直到,187
我会,187
机器人,187
排出,187
哈尔滨,186
各个,186
双侧,186
误诊,186
当前,186
称之为,186
贝伐,186
清晰,185
减退,185
一是,185
肿物,185
消耗,185
脊髓,185
回顾性,184
后来,184
新桥,184
新冠,184
脏层,184
根本,183
频率,183
不宜,183
淋巴管,183
有位,183
分布,183
埃克,183
预防性,183
率为,182
一半,182
喜欢,182
更长,182
胃肠,182
SCC,182
阿替,182
问诊,181
2014,181
取材,181
一方面,181
T1,181
射线,181
25%,181
毛刺,180
修复,180
攻击,180
里边,180
理念,180
32,180
中国医学科学院肿瘤医院,180
好转,180
MSI,180
利珠,180
对应,179
马上,179
三年,179
级别,179
论文,179
点击,179
期待,178
天津,178
耽误,178
长大,178
for,178
致癌物质,178
密切相关,177
根治术,177
新型,177
听到,177
原理,177
粒子,177
分级,177
临床实践,176
高峰,176
数值,176
掌握,176
保健品,176
似乎,176
牛奶,176
化疗药,176
缺失,175
血丝,175
以往,175
否则,175
说法,175
来讲,174
摄取,174
高发,174
清淡,174
组成,174
训练,173
肥胖,173
ct,173
意思,173
38,172
术式,172
先生,172
循证,172
肠癌,172
优点,172
中医药,172
微波,172
网站,172
kg,171
更大,171
信心,171
更换,171
活多久,171
统计学,170
亲属,170
缩短,170
极大,170
某种,170
不吃,170
N0,170
变得,170
摄入量,170
立即,170
可达,169
过多,169
单一,169
发作,169
肺气肿,169
愿意,169
粘膜,169
RFA,169
血糖,168
恶变,168
肺动脉,168
前瞻性,167
拒绝,167
测量,167
报销,167
75,167
远离,167
限度,166
附件,166
罹患,166
那样,166
瘙痒,166
错误,166
组合,166
不够,166
布加,165
癌基因,164
像是,164
肺外,164
ml,164
检出,164
军医大学,164
及早,164
关节,164
良性肿瘤,164
脊柱,164
慢慢,164
不全,163
独立,163
跳跃,163
期小,163
以免,163
肺病,163
41,163
对象,163
寻找,163
世界卫生组织,163
鸡蛋,163
VATS,163
肝炎,163
85%,163
间质,162
来源于,162
持续时间,162
切掉,162
主动,162
腹腔,162
不如,162
慢性病,162
哪个,162
减量,162
取决于,162
建立,162
广州,162
https,162
2009,162
双肺,161
栓塞,161
城市,161
所在,161
基线,161
持续性,161
面临,161
郭晓彤,161
选择性,160
种类,160
日常生活,160
有时候,160
经皮,160
护士,160
万人,160
with,160
子宫,159
注意事项,159
另一方面,159
高蛋白,159
队列,158
36,158
结肠癌,158
在内,158
有效性,157
不佳,157
2%,157
开放,157
KEYNOTE,157
插入,156
病房,156
AAH,156
首个,156
难度,156
直至,156
流程,156
现实,156
喉返,156
因而,156
葡萄糖,156
IIIB,155
年代,155
过于,155
不但,155
均衡,155
粘连,155
之所以,155
患病,155
有害,155
全世界,155
温度,155
研究者,154
NGS,154
筛选,154
接下来,154
同一,154
镇痛,154
化验,154
完善,154
例子,154
输注,154
酒精,154
AFP,154
地位,153
除外,153
尚无,153
狭窄,153
一周,153
病理科,153
0.5,153
宫颈癌,153
防癌,153
39,153
2A,153
女儿,152
small,152
正常值,152
饮酒,152
两药,152
纳武利,152
植入,152
巩固,151
孩子,151
查出,151
放松,151
优质,151
钙化,151
二次,151
需求,151
抑郁,151
ICI,151
普遍,150
对照,150
炎性,150
深入,150
怎样,150
等于,150
公司,150
盲目,150
便秘,150
200,150
消除,150
加工,150
从事,150
VEGF,150
名字,149
为何,149
MRD,149
承受,149
等待,149
--,149
肿瘤学,149
肺小,149
大便,149
中性,149
多项,148
认知,148
叫做,148
总是,148
肺纤维化,148
全脑,148
肺脏,148
射波刀,148
比如说,147
同期,147
入院,147
二是,147
疫情,147
头颅,147
聚集,147
肉眼,147
烟雾,147
劳拉替,147
涉及,146
分泌物,146
支架,146
紊乱,146
专门,146
气促,146
不想,146
脱发,146
前后,145
皮质激素,145
体现,145
肾脏,145
上午,145
欢迎,145
冰冻,145
原发癌,144
交流,144
努力,144
惰性,144
昨天,144
前面,144
不易,144
越大,144
可靠,144
别的,144
上肢,144
发烧,144
2010,143
前段时间,143
害怕,143
仅为,143
边界,143
以来,143
左上,143
危及,143
下肢,143
科技,143
薛兴阳,143
300,143
营养素,143
42,142
具备,142
显微镜,142
分裂,142
毛玻璃,142
43,142
除非,142
优先,141
遗憾,141
争取,141
内膜,141
停用,141
机构,141
不敢,141
起效,141
59,141
两天,141
成像,141
染色,141
周边,141
同济,141
简称,141
序贯,140
37,140
33,140
随时,140
放射科,140
给出,140
早诊,140
随机对照,140
中度,140
片段,140
老百姓,140
非典型,140
脑膜,140
5cm,139
52,139
调查,139
可是,139
医嘱,139
最初,139
故事,139
8mm,139
隆突,139
信迪利,139
m2,139
厨房,139
委员会,138
合并症,138
单个,138
打击,138
第二代,138
无关,138
实验室,138
混合性,138
西柚,138
增厚,138
送检,138
传染,138
PR,138
CSCO,137
科学家,137
特异,137
体外,137
充足,137
心里,137
负责,137
应对,137
吸气,137
营养物质,137
准确性,137
食欲不振,137
用法,137
干燥,137
牵拉,136
安慰,136
non,136
以为,136
战胜,136
NTRK,136
不幸,136
Journal,136
CA125,136
L858R,136
STAS,136
究竟,135
大会,135
加号,135
网友,135
头晕,135
57,135
EBUS,135
适宜,135
血浆,135
恢复正常,135
初治,134
依靠,134
抽血,134
3%,134
后期,134
自行,134
肾功能,134
46,134
34,134
见到,134
长春,134
患上,134
对照组,133
带瘤,133
心血管,133
酌情,133
放射线,133
年轻人,133
经典,133
满意,133
各位,133
受损,133
不高,133
调理,133
到达,133
乳头状,133
好处,133
指征,133
谢冬,133
侵及,133
予以,132
欧洲,132
肿瘤发生,132
一家,132
甲状腺癌,132
大致,132
TPS,132
这类,132
亚洲,132
次数,132
饮料,132
至关重要,132
西医,132
电极,132
老人,131
众多,131
强烈,131
支气管炎,131
前期,131
搜索,131
先进,131
随后,131
防护,131
电话,131
47,130
白血病,130
纤维化,130
感到,130
多久,130
月份,130
听说,130
输液,130
d1,130
带有,129
多见,129
昂贵,129
心电图,129
的确,129
中叶,129
回复,129
尽量避免,129
威胁,129
以便,129
电解质,129
意愿,128
异质性,128
之内,128
体格检查,128
凝血,128
不行,128
明白,128
规范化,128
加快,128
后面,128
去世,128
邻近,128
忽视,128
无力,128
缺陷,128
欣欣,128
电子,127
群体,127
弥漫性,127
公认,127
饮食习惯,127
56,127
上海,127
一切,127
油腻,127
瑞利,127
发给,126
样癌,126
遵循,126
癌性,126
时期,126
受累,126
重复,126
后者,126
58,126
当天,126
初始,126
EP,126
53,125
问世,125
扩大,125
显像,125
陆军,125
喝酒,125
局限于,125
做过,125
想到,125
危险性,125
中山大学,125
凋亡,124
一组,124
是从,124
有个,124
幸运,124
肿胀,124
全身性,124
多岁,124
相反,124
形式,124
想象,124
杀手,124
集中,124
化合物,124
起源于,124
双药,124
吃饭,124
息肉,124
世纪,123
二者,123
我院,123
四个,123
漏诊,123
解读,123
一句,123
颜色,123
儿子,123
在家,123
公众,123
酸奶,123
大气污染,123
饿死,123
学习,122
保守,122
44,122
深呼吸,122
49,122
MET14,121
并未,121
如今,121
信任,121
用来,121
为例,121
王昆,121
延缓,121
第四,121
受益,121
色瑞替,121
br,121
疑问,120
完全性,120
预计,120
基底膜,120
呼吸系统,120
鼻咽癌,120
刚才,120
搭配,120
DFS,120
干扰,120
香烟,120
WBRT,120
案例,119
以内,119
内镜,119
年前,119
至于,119
想要,119
CTLA,119
V600E,119
下列,119
椎体,119
换药,119
所说,119
51,119
新发,119
功效,119
2007,119
阻止,118
大型,118
强化,118
舒服,118
止血,118
过敏,118
背部,118
豆类,118
最低,118
正是,118
重大,118
性肺,118
SBRT,118
一级,118
脉管,118
延迟,118
通气,117
别人,117
Oncol,117
IIA,117
没什么,117
角蛋白,117
54,117
制剂,117
电视,117
系统性,116
实在,116
自费,116
解答,116
75%,116
慎重,116
人生,116
肾癌,116
原有,116
卧床,116
大大,116
询问,116
合成,116
阿片类,116
看一看,115
本来,115
不规则,115
权威,115
CR,115
中断,115
禁忌症,115
虚弱,115
及时发现,115
T3,115
多见于,115
自理,115
令人,115
确切,115
面诊,115
新生,115
前列腺,115
广泛应用,114
差不多,114
做个,114
生理,114
做法,114
HPV,114
申请,114
现代,114
进口,114
千万,114
提倡,114
好像,114
广大,114
展开,113
克服,113
种植,113
至今,113
暂时,113
生化,113
依托,113
重庆,113
最早,113
强大,113
第一位,113
红肉,113
首发,112
段时间,112
首位,112
得以,112
讲过,112
放心,112
中间,112
远期,112
每位,112
只不过,112
查体,112
体能,112
腌制,112
等到,112
遗传性,112
见于,112
复制,112
定性,111
临床意义,111
第二个,111
T4,111
骨痛,111
阿美,111
累计,111
病程,111
中医中药,111
微卫星,110
就算,110
天津市,110
主任医师,110
热量,110
探查,110
挑战,109
将近,109
病理性,109
模糊,109
呼气,109
灵敏度,109
机理,109
暂停,109
溃疡,109
PSA,109
应答,108
好好,108
右上,108
膀胱癌,108
活化,108
突下,108
有毒,108
图片,108
频繁,108
万例,108
功能障碍,108
