('2022-05-01', '甲亢', '甲亢病友如何选择甲亢治疗方法？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9388755718.html')
('2021-09-05', '甲亢', '甲亢如何安全有效使用药物治疗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9352845359.html')
('2021-08-18', '甲亢', '抗甲亢药物赛治，顿服还是分次？', '杨锐', 'https://www.haodf.com/neirong/wenzhang/9327819958.html')
('2021-08-15', '甲亢', '亚临床甲亢：治不治？分 4 步走', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9324421462.html')
('2021-08-15', '甲亢', '甲亢也要手术治疗吗？（1）', '孙鹏', 'https://m.haodf.com/neirong/shipin/9323953747.html')
('2021-08-02', '甲亢', '甲亢药物治疗为什么时间那么长？', '程小杰', 'https://www.haodf.com/neirong/wenzhang/9304046565.html')
('2021-07-29', '甲亢', '甲亢药物治疗为什么这么难', '李幸毅', 'https://www.haodf.com/neirong/wenzhang/9299416044.html')
('2021-07-28', '甲亢', '甲亢，到底能不能根治？', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/9297867093.html')
('2021-07-28', '甲亢', '甲亢每个月的化验到底有没必要？', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/9297866288.html')
('2021-07-28', '甲亢', '甲亢吃什么比较好？', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/9297865315.html')
('2021-07-28', '甲亢', '甲亢最好的药物有哪些？', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/9297864195.html')
('2021-07-28', '甲亢', '我为什么得了甲亢？', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/9297862397.html')
('2021-07-27', '甲亢', '炎炎夏日 甲亢患者渡劫攻略~', '陈璐璐', 'https://www.haodf.com/neirong/wenzhang/9296291653.html')
('2021-07-16', '甲亢', '甲亢患者千万要注意这四点！', '孙香兰', 'https://m.haodf.com/neirong/shipin/9279623310.html')
('2021-07-08', '甲亢', '这些甲亢相关的诊治误区，你中招了吗？', '汤长江', 'https://www.haodf.com/neirong/wenzhang/9267537847.html')
('2021-06-18', '甲亢', '甲亢可以打新冠疫苗吗？', '孙鹏', 'https://m.haodf.com/neirong/shipin/9240062574.html')
('2021-06-12', '甲亢', '甲亢甲减哪个更危险？', '孙香兰', 'https://m.haodf.com/neirong/shipin/9232451671.html')
('2021-06-08', '甲亢', '甲亢患者治疗的新选择——超微创微波消融治疗', '汤长江', 'https://www.haodf.com/neirong/wenzhang/9227243295.html')
('2021-05-25', '甲亢', '识别百变甲亢，辗转来到内分泌科', '刘海霞', 'https://m.haodf.com/neirong/shipin/9208328017.html')
('2021-05-18', '甲亢', '甲亢、甲减患者就诊须知', '刘丹锋', 'https://m.haodf.com/neirong/shipin/9198889921.html')
('2021-05-18', '新冠肺炎', '糖尿病患者能打疫苗吗？甲亢或甲减患者能打疫苗吗？痛风患者能...', '吴娜', 'https://www.haodf.com/neirong/wenzhang/9198476139.html')
('2021-05-09', '甲亢', 'Graves甲亢的方方面面，这篇Nature综述说的太清楚了！', '肖方森', 'https://www.haodf.com/neirong/wenzhang/9185459937.html')
('2021-05-04', '甲亢', '甲亢患者有哪些注意事项？', '张薇', 'https://www.haodf.com/neirong/wenzhang/9178573174.html')
('2021-05-02', '甲状腺结节', '遇到甲亢、甲状腺结节怎么办——甲状腺结节和甲亢有关系吗？', '刘天润', 'https://www.haodf.com/neirong/wenzhang/9176818171.html')
('2021-04-30', '甲亢', 'TSI-甲亢患者需要关注的一个新的检测指标', '武晓泓', 'https://www.haodf.com/neirong/wenzhang/9174719224.html')
('2021-04-26', '甲亢', '甲亢为什么吃治疗甲减的药？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9168878054.html')
('2021-04-06', '新冠肺炎', '糖尿病、高血压，甲亢、甲减能够接种新冠疫苗吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9138857767.html')
('2021-04-06', '新冠肺炎', '甲亢、甲减能不能接种新冠疫苗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9138857405.html')
('2021-03-31', '甲亢', '碘131治疗顽固性甲亢和甲亢并发症', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/9129547098.html')
('2021-03-28', '甲亢', '甲亢治疗新选择，微创消融“定海神针”', '汤长江', 'https://www.haodf.com/neirong/wenzhang/9125874978.html')
('2021-03-26', '甲亢', '糖甲视频：服用甲亢药物，到底多长时间抽一次血？', '李连喜', 'https://www.haodf.com/neirong/wenzhang/9123313626.html')
('2021-03-24', '甲亢', '发现甲亢该做哪些检查？如何治疗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9120269489.html')
('2021-03-24', '甲亢', '甲亢三种治疗方法的比较', '刘丹锋', 'https://m.haodf.com/neirong/shipin/9119855900.html')
('2021-03-21', '甲亢', '甲亢时为什么要查基础代谢率', '张纯海', 'https://m.haodf.com/neirong/shipin/9115451962.html')
('2021-03-20', '甲亢', '甲亢的临床表现', '张纯海', 'https://m.haodf.com/neirong/shipin/9114319588.html')
('2021-03-16', '甲亢', '甲亢患者日常生活注意事项', '孙香兰', 'https://www.haodf.com/neirong/wenzhang/9107343679.html')
('2021-03-14', '甲亢', '得了甲亢，你必须首先搞懂有几种治疗方法，如何去选择？', '汤长江', 'https://www.haodf.com/neirong/wenzhang/9104806319.html')
('2021-03-13', '甲亢', '甲亢注意事项', '张颖辉', 'https://www.haodf.com/neirong/wenzhang/9103468991.html')
('2021-03-11', '甲亢', '甲亢病人能吃什么', '高强', 'https://www.haodf.com/neirong/wenzhang/9100830508.html')
('2021-03-04', '甲亢', '碘131甲亢治疗后注意事项', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/9089622067.html')
('2021-01-31', '甲亢', '甲亢（六）亚临床甲亢', '侯宁宁', 'https://www.haodf.com/neirong/wenzhang/9049732935.html')
('2021-01-31', '甲亢', '甲亢（五）化验单解读', '侯宁宁', 'https://www.haodf.com/neirong/wenzhang/9049732462.html')
('2021-01-29', '甲亢', '[原创]甲亢131碘治疗后出现甲减可怕么-医生视角！', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/9045288761.html')
('2021-01-29', '甲亢', '甲亢治疗后发胖不用愁', '夏仲元', 'https://m.haodf.com/neirong/shipin/9044572124.html')
('2021-01-26', '甲亢', '亚临床甲亢，该不该治疗？', '费健', 'https://www.haodf.com/neirong/wenzhang/9040206594.html')
('2021-01-23', '甲亢', '甲亢患者为什么越来越喜欢微创消融治疗', '汤长江', 'https://www.haodf.com/neirong/wenzhang/9036868651.html')
('2020-12-21', '甲亢', '甲亢的诊断与治疗', '李玲', 'https://www.haodf.com/neirong/wenzhang/8999430223.html')
('2020-12-20', '甲亢', '甲亢患者注意事项', '许莉军', 'https://www.haodf.com/neirong/wenzhang/8997992104.html')
('2020-12-11', '甲亢', '甲亢患者饮食事项', '肖辉盛', 'https://www.haodf.com/neirong/wenzhang/8986215855.html')
('2020-11-30', '甲亢', '甲亢容易复发怎么办', '王永坤', 'https://www.haodf.com/neirong/wenzhang/8971442439.html')
('2020-11-22', '甲亢', '亚临床甲亢', '王永坤', 'https://www.haodf.com/neirong/wenzhang/8960984472.html')
('2020-11-15', '甲亢', '糖甲病例：什么？高钙血症、骨质疏松、胸腺增生都是甲亢引起的...', '李连喜', 'https://www.haodf.com/neirong/wenzhang/8951963553.html')
('2020-11-11', '甲亢', '甲亢和甲减有哪些危害？', '贾钰华', 'https://www.haodf.com/neirong/wenzhang/8946941521.html')
('2020-11-03', '甲亢', '西医治疗甲亢的“三驾马车”', '张超杰', 'https://www.haodf.com/neirong/wenzhang/8935745351.html')
('2020-10-29', '甲亢', '手抖—要注意是否与甲亢有关', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8930296580.html')
('2020-10-26', '甲亢', '甲亢哪种治疗方法复发率低', '肖方森', 'https://m.haodf.com/neirong/shipin/8925403384.html')
('2020-10-25', '甲亢', '甲亢对人体的短期和长期影响', '肖方森', 'https://m.haodf.com/neirong/shipin/8924214046.html')
('2020-10-21', '甲亢', '女性甲亢患者会有哪些危害？', '辛海', 'https://www.haodf.com/neirong/wenzhang/8919529776.html')
('2020-10-19', '甲亢', '甲亢要吃药多久才好', '肖方森', 'https://m.haodf.com/neirong/shipin/8916361044.html')
('2020-10-08', '甲亢', '甲亢如何注意饮食？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8901943186.html')
('2020-09-26', '甲亢', '甲亢病情控制后为什么眼部病变还不好？', '蒙碧辉', 'https://www.haodf.com/neirong/wenzhang/8883266211.html')
('2020-09-12', '甲亢', '甲亢碘131治疗检查前准备→检查→治疗→治疗后注意事项一条龙', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/8834628402.html')
('2020-09-10', '甲亢', '高温天气如何预防甲亢再刷存在感？', '吴高松', 'https://www.haodf.com/neirong/wenzhang/8830087452.html')
('2020-09-04', '甲亢', '19岁女孩多年甲亢服碘后很快缓解', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8822001096.html')
('2020-09-04', '甲亢', '什么样的甲亢需要手术治疗？', '张挺', 'https://www.haodf.com/neirong/wenzhang/8821724081.html')
('2020-08-26', '甲亢', '甲亢吃药效果不理想，做手术创伤大？新方法微创消融怎么样？', '双剑博', 'https://www.haodf.com/neirong/wenzhang/8798744156.html')
('2020-08-23', '甲亢', '甲减和甲亢哪个严重？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8794054018.html')
('2020-08-23', '甲亢', '甲亢碘131治疗后甲减', '黄郁林', 'https://www.haodf.com/neirong/wenzhang/8793213327.html')
('2020-08-21', '甲亢', '甲亢治疗新突破.权威培训共分享', '汤长江', 'https://www.haodf.com/neirong/wenzhang/8782020317.html')
('2020-08-15', '甲亢', '甲亢饮食注意事项', '杨晓霞', 'https://m.haodf.com/neirong/shipin/8764988710.html')
('2020-08-06', '甲亢', '如何选择甲亢的治疗方法？', '刘慧颖', 'https://www.haodf.com/neirong/wenzhang/8746428687.html')
('2020-07-29', '甲亢', '甲亢能根治吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8733372987.html')
('2020-07-28', '甲亢', '青少年甲亢管理的临床特点和治疗策略', '吴高松', 'https://www.haodf.com/neirong/wenzhang/8725089036.html')
('2020-07-23', '甲亢', '甲亢总是好不了，何不试试放射性碘131治疗？', '刘学', 'https://www.haodf.com/neirong/wenzhang/8673311083.html')
('2020-07-12', '甲亢', '甲亢确诊前为什么要做摄碘率检查？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8646527373.html')
('2020-07-06', '甲亢', '医生，得了甲亢能怀孕吗？', '吴高松', 'https://www.haodf.com/neirong/wenzhang/8637649736.html')
('2020-07-06', '甲亢', '得了甲亢能怀孕吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8637647492.html')
('2020-07-05', '甲亢', '甲亢病人有哪些忌口？', '赵东奇', 'https://www.haodf.com/neirong/wenzhang/8636222701.html')
('2020-06-29', '甲亢', '邹医生说甲状腺（4）：甲亢，你还在惧怕碘131放射性核素（I131...', '邹显彤', 'https://www.haodf.com/neirong/wenzhang/8626524298.html')
('2020-06-25', '甲亢', '甲亢的生活注意事项4“宜”4“忌”', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8619899284.html')
('2020-06-20', '甲亢', '格雷夫斯甲亢碘-131治疗知识问答（二）', '张宝牛', 'https://www.haodf.com/neirong/wenzhang/8612971236.html')
('2020-06-20', '甲亢', '格雷夫斯甲亢的临床表现和治疗', '张宝牛', 'https://www.haodf.com/neirong/wenzhang/8612970278.html')
('2020-06-15', '甲亢', '甲亢是什么引起的？', '徐宝荣', 'https://m.haodf.com/neirong/shipin/8605037559.html')
('2020-06-10', '甲亢', '甲亢怎么吃东西？', '靳小建', 'https://www.haodf.com/neirong/wenzhang/8596149498.html')
('2020-06-08', '甲亢', '甲亢和甲减的区别', '徐宝荣', 'https://m.haodf.com/neirong/shipin/8593392850.html')
('2020-06-07', '甲亢', '甲功化验结果高就能确诊“甲亢”吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8592189732.html')
('2020-05-24', '甲亢', '碘131治疗甲亢会影响生育吗？能用于甲亢儿童吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8573409710.html')
('2020-05-23', '甲亢', '腔镜微创手术治疗甲亢', '檀谊洪', 'https://www.haodf.com/neirong/wenzhang/8571956779.html')
('2020-05-23', '甲亢', '邹医生说甲状腺（2）：亲身经历告诉你，甲亢是什么疾病', '邹显彤', 'https://www.haodf.com/neirong/wenzhang/8571782552.html')
('2020-05-19', '甲亢', '患上甲亢不要慌，合理规范诊疗是关键！', '董华', 'https://www.haodf.com/neirong/wenzhang/8567214766.html')
('2020-05-17', '甲亢', '甲亢女性患者何时可以备孕？', '史颖莉', 'https://m.haodf.com/neirong/shipin/8565292577.html')
('2020-05-12', '甲亢', '碘-131治疗甲亢注意事项是什么？', '陈登念', 'https://www.haodf.com/neirong/wenzhang/8557961010.html')
('2020-05-01', '甲减', '甲减和甲亢人群如何减肥呢', '陈伟', 'https://m.haodf.com/neirong/shipin/8545828467.html')
('2020-04-30', '甲亢', '您了解甲亢碘131治疗吗？', '胡利梅', 'https://www.haodf.com/neirong/wenzhang/8544913667.html')
('2020-04-29', '甲亢', '甲亢如何规范诊疗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8543890772.html')
('2020-04-19', '甲亢', '甲亢日常生活中需要注意什么？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8531132012.html')
('2020-04-11', '甲亢', '治疗甲亢，这些药物的特性你必须要懂', '刘伟', 'https://www.haodf.com/neirong/wenzhang/8521631344.html')
('2020-03-29', '甲亢', '甲亢和甲减的诊后管理', '王晓岳', 'https://www.haodf.com/neirong/wenzhang/8506088368.html')
('2020-03-26', '甲亢', '甲亢碘131治疗是怎么回事？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8485046705.html')
('2020-03-17', '甲亢', '甲亢碘131治疗前后有哪些注意事项', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8394529435.html')
('2020-02-20', '甲亢', '甲亢相关问题', '蔡林森', 'https://www.haodf.com/neirong/wenzhang/8183092641.html')
('2020-02-20', '甲亢', '甲亢患者在饮食上面有哪些是需要注意的呢？', '秦宁宁', 'https://www.haodf.com/neirong/wenzhang/8182726311.html')
('2020-02-18', '甲亢', '疫情期间甲亢患者如何自己调整抗甲亢药物', '雷建文', 'https://www.haodf.com/neirong/wenzhang/8179613952.html')
('2020-02-18', '甲亢', '治疗甲亢首先需要消除诱因', '许峥嵘', 'https://www.haodf.com/neirong/wenzhang/8179610569.html')
('2020-02-18', '甲亢', '得了甲亢，生活中有什么讲究', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8179421804.html')
('2020-02-17', '甲亢', '优甲乐：为何甲减甲亢都是它？', '杜丽坤', 'https://www.haodf.com/neirong/wenzhang/8175910974.html')
('2020-02-17', '甲亢', '甲亢备孕那些事', '', 'https://www.haodf.com/neirong/wenzhang/8175455865.html')
('2020-02-16', '甲状腺瘤', '【甲亢患者】术前服用【碘剂】注意事项', '王波', 'https://www.haodf.com/neirong/wenzhang/8174795851.html')
('2020-02-15', '甲亢', '甲亢治疗总有一款适合你', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8172213259.html')
('2020-02-14', '甲亢', '甲亢治疗之三—手术治疗', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8169875028.html')
('2020-02-13', '甲亢', '甲亢放射性碘治疗', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8166820362.html')
('2020-02-13', '甲亢', '甲亢治疗（一）', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8166820180.html')
('2020-02-13', '甲亢', '甲亢的症状有哪些', '胡亚辉', 'https://m.haodf.com/neirong/shipin/8166820158.html')
('2020-02-12', '甲亢', '甲亢药物治疗有哪些注意事项？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8166454547.html')
('2020-02-12', '甲亢', '甲亢碘-131治疗前后有哪些注意事项？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8166454227.html')
('2020-02-12', '甲亢', '甲亢的碘131治疗有哪些优点和缺点？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8166001570.html')
('2020-02-12', '甲亢', '甲亢治疗的新方法——131碘治疗', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8166001413.html')
('2020-02-12', '甲亢', '甲亢患者药物治疗，如何注意才能减少复发？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8165826509.html')
('2020-02-11', '甲亢', '化验甲状腺激素高就是甲亢吗？甲亢诊断，没有那么简单！', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8164599841.html')
('2020-02-10', '甲亢', '甲亢如何选择治疗方法？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8161550131.html')
('2020-02-10', '甲亢', '甲亢的治疗方法有哪些？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/8161549888.html')
('2020-02-09', '甲亢', '打算生育(怀孕)的甲亢病人该用哪种疗法-抗甲药物 131碘？', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/8160624515.html')
('2020-02-05', '甲亢', '甲状腺疾病的饮食指导（1）——甲亢篇', '李扬', 'https://www.haodf.com/neirong/wenzhang/8153575984.html')
('2020-02-05', '甲亢', '甲亢，甲减，该补碘还是限碘？', '杜丽坤', 'https://www.haodf.com/neirong/wenzhang/8152967740.html')
('2020-01-19', '甲亢', '甲亢患者饮食问题： 3 个原则', '倪连松', 'https://www.haodf.com/neirong/wenzhang/8137244948.html')
('2020-01-12', '甲亢', '甲亢会死人吗', '邵迎新', 'https://www.haodf.com/neirong/wenzhang/8132082002.html')
('2020-01-12', '甲亢', '甲亢怎么治疗', '邵迎新', 'https://www.haodf.com/neirong/wenzhang/8132081177.html')
('2020-01-12', '甲亢', '甲亢的症状有哪些', '邵迎新', 'https://www.haodf.com/neirong/wenzhang/8132080897.html')
('2020-01-01', '甲亢', '甲亢碘131治疗需要有哪些注意事项？', '刘学', 'https://m.haodf.com/neirong/shipin/8123515480.html')
('2019-12-30', '甲亢', '甲亢妇女能怀孕吗？', '杨建梅', 'https://www.haodf.com/neirong/wenzhang/8122229898.html')
('2019-12-12', '甲亢', '甲亢有哪些饮食注意事项？', '尹冬', 'https://m.haodf.com/neirong/yuyin/8105441049.html')
('2019-11-27', '甲亢', '亚临床甲亢需要治疗吗？', '黄郁林', 'https://www.haodf.com/neirong/wenzhang/8092849773.html')
('2019-11-26', '甲亢', '甲亢的早期症状有哪些？', '支忠继', 'https://m.haodf.com/neirong/yuyin/8091688021.html')
('2019-11-18', '甲亢', '瘫痪、心衰、房颤、猝死，别把甲亢不当病！', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/8085482804.html')
('2019-11-17', '甲亢', '我抽血化验的甲功提示甲状腺激素水平增高，我是甲亢吗？', '吴娜', 'https://www.haodf.com/neirong/wenzhang/8084580433.html')
('2019-11-15', '甲亢', '激素指标高≠甲亢！甲亢诊断，没有那么简单！', '余德方', 'https://www.haodf.com/neirong/wenzhang/8083104322.html')
('2019-11-13', '甲状腺癌', '了解甲亢伴甲状腺乳头状癌的治疗', '缪刚', 'https://www.haodf.com/neirong/wenzhang/8081121132.html')
('2019-10-29', '甲亢', '甲亢能够彻底治愈吗？', '罗露露', 'https://m.haodf.com/neirong/shipin/8066747255.html')
('2019-10-26', '甲亢', '谈谈甲亢治疗药物（二）-碘和碘化物', '罗露露', 'https://www.haodf.com/neirong/wenzhang/8064651585.html')
('2019-10-24', '甲亢', '甲亢病有什么症状', '刘嘉', 'https://www.haodf.com/neirong/wenzhang/8062472013.html')
('2019-10-23', '甲亢', '碘131治疗甲亢可以重复做吗？', '高洪波', 'https://www.haodf.com/neirong/wenzhang/8061593442.html')
('2019-10-23', '甲亢', '碘131治疗甲亢会损伤身体吗？', '高洪波', 'https://www.haodf.com/neirong/wenzhang/8061591858.html')
('2019-10-14', '甲亢', '游离甲状腺素偏高是甲亢吗？', '孟晓萍', 'https://m.haodf.com/neirong/yuyin/8053267125.html')
('2019-10-13', '甲亢', '甲亢复发的原因有哪些？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8052168513.html')
('2019-10-13', '甲亢', '为什么甲亢总是复发', '桑海艳', 'https://m.haodf.com/neirong/shipin/8052168139.html')
('2019-10-11', '甲亢', '甲亢会引起乏力吗', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8050744062.html')
('2019-10-07', '甲亢', '心脏不舒服记得查甲亢', '高洪波', 'https://www.haodf.com/neirong/wenzhang/8047213727.html')
('2019-10-02', '甲亢', '甲亢碘治疗后，你应该注意', '程小辉', 'https://www.haodf.com/neirong/wenzhang/8043390272.html')
('2019-09-30', '甲亢', '甲亢患者服用碘131治疗后需要注意什么', '王彩红', 'https://m.haodf.com/neirong/shipin/8041456585.html')
('2019-09-30', '甲亢', '碘131治疗甲亢好吗？', '王彩红', 'https://m.haodf.com/neirong/shipin/8041455306.html')
('2019-09-26', '甲亢', '得了甲亢就一定会得甲亢性心脏病吗？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8038226514.html')
('2019-09-25', '甲亢', '如何预测甲亢是否容易复发？', '罗露露', 'https://www.haodf.com/neirong/wenzhang/8037514787.html')
('2019-09-25', '甲亢', '甲亢患者治疗过程中要注意哪些方面？', '罗露露', 'https://m.haodf.com/neirong/shipin/8037302609.html')
('2019-09-24', '甲亢', '青春期甲亢要治疗吗，该怎么办？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8035876950.html')
('2019-09-24', '甲亢', '甲亢肥胖应怎么减肥？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8035875224.html')
('2019-09-24', '甲亢', '甲功五项是哪五项，哪项升高说明是甲亢？', '罗露露', 'https://m.haodf.com/neirong/shipin/8035870652.html')
('2019-09-23', '甲亢', '甲亢是什么原因引起的？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8034955424.html')
('2019-09-23', '甲亢', '甲亢检查项目偏高是什么引起的，该怎么办？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8034951973.html')
('2019-09-23', '甲亢', '甲亢随意停药有哪些危害？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8034951795.html')
('2019-09-23', '甲亢', '甲亢甲状腺肿大怎么消肿？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8034950931.html')
('2019-09-22', '甲亢', '检查甲亢需要做哪些检查，为什么要做这些检查？', '向松', 'https://m.haodf.com/neirong/shipin/8034581261.html')
('2019-09-22', '甲亢', '甲亢合并甲状腺结节应如何治疗？', '向松', 'https://m.haodf.com/neirong/shipin/8034581023.html')
('2019-09-21', '甲亢', '甲亢tsh很难上升，该怎么办？', '赵永才', 'https://m.haodf.com/neirong/shipin/8033584547.html')
('2019-09-21', '甲亢', '甲亢患者爱出汗是怎么回事？', '赵永才', 'https://m.haodf.com/neirong/shipin/8033583096.html')
('2019-09-20', '甲亢', '甲亢复发了该怎么治疗？', '王彩红', 'https://m.haodf.com/neirong/yuyin/8032377745.html')
('2019-09-20', '甲亢', '甲亢是什么原因引起来的呢？', '王彩红', 'https://m.haodf.com/neirong/shipin/8032369956.html')
('2019-09-20', '甲亢', '什么是甲亢，得了甲亢该怎么办？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8032268159.html')
('2019-09-18', '甲亢', '轻微甲亢怎么办，需要吃药吗？', '郭琳', 'https://m.haodf.com/neirong/shipin/8030676343.html')
('2019-09-18', '甲亢', '甲亢生活中应注意什么？', '郭琳', 'https://m.haodf.com/neirong/shipin/8030675615.html')
('2019-09-18', '甲亢', '甲亢的早期症状是什么？', '王彩红', 'https://m.haodf.com/neirong/shipin/8030675457.html')
('2019-09-17', '甲亢', '甲亢会导致双腿无力吗？', '向松', 'https://m.haodf.com/neirong/shipin/8030122069.html')
('2019-09-17', '甲亢', '甲亢需要做哪些检查，为什么要做这些检查？', '向松', 'https://m.haodf.com/neirong/shipin/8030121285.html')
